name	unicode	hex	comment
space	U0020	0x0020	
exclam	U0021	0x0021	
quotedbl	U0022	0x0022	
numbersign	U0023	0x0023	
dollar	U0024	0x0024	
percent	U0025	0x0025	
ampersand	U0026	0x0026	
apostrophe	U0027	0x0027	
quoteright	U0027	0x0027	/* deprecated */
parenleft	U0028	0x0028	
parenright	U0029	0x0029	
asterisk	U002a	0x002a	
plus	U002b	0x002b	
comma	U002c	0x002c	
minus	U002d	0x002d	
period	U002e	0x002e	
slash	U002f	0x002f	
0	U0030	0x0030	
1	U0031	0x0031	
2	U0032	0x0032	
3	U0033	0x0033	
4	U0034	0x0034	
5	U0035	0x0035	
6	U0036	0x0036	
7	U0037	0x0037	
8	U0038	0x0038	
9	U0039	0x0039	
colon	U003a	0x003a	
semicolon	U003b	0x003b	
less	U003c	0x003c	
equal	U003d	0x003d	
greater	U003e	0x003e	
question	U003f	0x003f	
at	U0040	0x0040	
A	U0041	0x0041	
B	U0042	0x0042	
C	U0043	0x0043	
D	U0044	0x0044	
E	U0045	0x0045	
F	U0046	0x0046	
G	U0047	0x0047	
H	U0048	0x0048	
I	U0049	0x0049	
J	U004a	0x004a	
K	U004b	0x004b	
L	U004c	0x004c	
M	U004d	0x004d	
N	U004e	0x004e	
O	U004f	0x004f	
P	U0050	0x0050	
Q	U0051	0x0051	
R	U0052	0x0052	
S	U0053	0x0053	
T	U0054	0x0054	
U	U0055	0x0055	
V	U0056	0x0056	
W	U0057	0x0057	
X	U0058	0x0058	
Y	U0059	0x0059	
Z	U005a	0x005a	
bracketleft	U005b	0x005b	
backslash	U005c	0x005c	
bracketright	U005d	0x005d	
asciicircum	U005e	0x005e	
underscore	U005f	0x005f	
grave	U0060	0x0060	
quoteleft	U0060	0x0060	/* deprecated */
a	U0061	0x0061	
b	U0062	0x0062	
c	U0063	0x0063	
d	U0064	0x0064	
e	U0065	0x0065	
f	U0066	0x0066	
g	U0067	0x0067	
h	U0068	0x0068	
i	U0069	0x0069	
j	U006a	0x006a	
k	U006b	0x006b	
l	U006c	0x006c	
m	U006d	0x006d	
n	U006e	0x006e	
o	U006f	0x006f	
p	U0070	0x0070	
q	U0071	0x0071	
r	U0072	0x0072	
s	U0073	0x0073	
t	U0074	0x0074	
u	U0075	0x0075	
v	U0076	0x0076	
w	U0077	0x0077	
x	U0078	0x0078	
y	U0079	0x0079	
z	U007a	0x007a	
braceleft	U007b	0x007b	
bar	U007c	0x007c	
braceright	U007d	0x007d	
asciitilde	U007e	0x007e	
nobreakspace	U00a0	0x00a0	
